Subject:	S1111
Project:	BesteRTMusic
Time:	2015-03-31_11-11-55

Matlab_now	Increasing Marker	BoxyTime	Marker	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8
40502.084	0	3548.292	0	1917.000	519.900	149.700	39.930	1393.000	382.600	101.400	24.430	229.700	59.950	17.940	5.827	420.100	109.900	33.090	12.200	
40502.146	0	3548.376	0	1921.000	520.500	149.300	39.910	1395.000	383.700	101.800	24.480	230.800	60.060	18.010	5.848	419.800	110.200	33.090	12.210	
40502.159	0	3548.460	0	1918.000	520.600	149.500	39.880	1393.000	383.100	101.600	24.500	229.900	60.220	18.080	5.869	420.400	110.600	33.260	12.230	
40502.321	0	3548.544	0	1923.000	521.700	150.300	39.920	1399.000	384.600	101.800	24.410	230.900	60.120	18.030	5.866	420.700	110.400	33.210	12.300	
40502.433	0	3548.628	0	1922.000	522.500	150.600	39.900	1397.000	383.100	101.500	24.370	234.300	60.080	18.030	5.894	421.700	111.100	33.210	12.260	
40502.542	0	3548.712	0	1924.000	520.200	149.600	39.880	1395.000	383.200	101.600	24.300	230.300	60.110	18.020	5.864	420.500	110.700	33.090	12.280	
40502.555	0	3548.796	0	1915.000	520.900	149.400	39.630	1390.000	383.100	101.400	24.320	229.700	59.990	17.940	5.866	419.100	110.100	33.050	12.250	
40502.667	0	3548.923	0	1911.000	522.800	149.300	39.640	1393.000	383.800	101.600	24.290	231.700	60.030	17.940	5.842	419.500	110.000	33.140	12.230	
40502.779	0	3548.986	0	1920.000	518.500	149.500	39.800	1392.000	383.500	101.400	24.350	231.700	59.980	18.020	5.879	420.000	109.900	33.030	12.230	
40502.876	0	3549.091	0	1918.000	518.000	149.400	39.990	1392.000	381.900	101.700	24.460	230.600	60.130	18.000	5.884	419.700	110.500	33.040	12.310	
40502.918	0	3549.154	0	1915.000	520.800	149.400	39.920	1391.000	383.400	101.200	24.410	231.500	60.100	17.990	5.907	419.500	110.500	33.180	12.290	
40503.019	0	3549.238	0	1924.000	520.700	150.400	40.010	1393.000	383.100	101.600	24.420	230.200	59.920	18.080	5.907	420.300	110.600	33.150	12.340	
40503.119	0	3549.322	0	1925.000	519.700	149.700	39.880	1393.000	382.300	101.500	24.410	229.900	60.110	18.060	5.890	419.600	110.400	33.040	12.260	
40503.132	0	3549.406	0	1919.000	522.200	149.300	39.800	1396.000	383.200	101.000	24.350	233.200	60.060	18.040	5.898	419.500	109.800	33.110	12.300	
40503.249	0	3549.489	0	1914.000	519.900	149.600	39.780	1393.000	383.700	101.900	24.320	231.700	60.110	18.070	5.901	420.300	109.800	33.190	12.330	
40503.350	0	3549.573	0	1922.000	519.700	149.700	39.840	1398.000	384.300	101.600	24.350	231.800	60.270	18.070	5.920	420.700	110.300	33.060	12.300	
40503.466	0	3549.657	0	1928.000	521.700	150.000	39.770	1398.000	384.200	101.700	24.400	228.600	60.400	18.070	5.924	420.100	110.700	33.190	12.330	
40503.578	0	3549.741	0	1917.000	518.900	149.700	39.940	1395.000	384.400	101.200	24.270	232.400	60.340	18.130	5.915	420.800	110.700	33.210	12.380	
40503.591	0	3549.804	0	1923.000	523.900	150.000	39.880	1396.000	384.100	101.800	24.380	231.100	60.280	18.110	5.912	420.700	111.400	33.310	12.350	
40503.696	0	3549.887	0	1920.000	523.900	150.100	40.130	1393.000	384.300	101.300	24.320	232.800	60.310	18.080	5.884	423.400	110.800	33.190	12.340	
40503.808	0	3549.971	0	1923.000	521.700	149.300	39.680	1398.000	381.800	101.200	24.380	232.200	60.430	18.130	5.859	421.600	110.800	33.090	12.240	
40503.983	0	3550.097	0	1921.000	521.200	149.500	39.660	1396.000	382.400	101.600	24.370	231.300	60.320	17.960	5.898	422.200	110.600	33.130	12.290	
40504.031	0	3550.182	0	1916.000	518.900	149.000	39.780	1396.000	382.500	101.500	24.360	231.800	60.020	18.000	5.870	421.400	110.400	33.060	12.290	
40504.045	0	3550.266	0	1915.000	520.900	149.900	39.740	1396.000	382.400	101.100	24.390	231.500	60.240	18.110	5.880	421.000	110.800	33.170	12.310	
40504.057	0	3550.350	0	1915.000	520.000	149.500	39.910	1398.000	382.600	101.500	24.350	232.500	60.240	18.080	5.876	423.300	111.000	33.290	12.290	
40504.220	0	3550.434	0	1923.000	521.100	150.200	39.960	1400.000	383.400	101.800	24.350	232.100	60.430	18.070	5.878	423.000	111.200	33.330	12.360	
40504.261	0	3550.518	0	1922.000	523.400	150.100	39.990	1400.000	383.300	101.100	24.340	230.000	60.380	18.080	5.857	422.600	110.800	33.330	12.280	
40504.360	0	3550.602	0	1928.000	520.800	149.900	39.800	1400.000	384.000	101.300	24.300	231.000	60.140	17.940	5.861	421.100	111.100	33.170	12.310	
40504.462	0	3550.665	0	1914.000	520.600	149.800	39.680	1397.000	383.500	101.900	24.290	229.800	60.210	17.980	5.862	420.600	110.200	33.210	12.240	
40504.525	0	3550.749	0	1920.000	519.200	149.400	39.750	1394.000	385.300	101.500	24.190	232.500	60.220	18.000	5.849	421.100	110.400	33.200	12.290	
40504.538	0	3550.833	0	1918.000	520.900	149.100	39.650	1392.000	383.800	101.500	24.360	232.000	60.350	18.010	5.880	421.000	111.000	33.220	12.300	
40504.674	0	3550.917	0	1927.000	520.400	149.900	39.720	1395.000	384.300	101.100	24.260	232.300	60.100	17.980	5.871	421.700	111.000	33.290	12.290	
40504.695	0	3551.002	0	1918.000	519.000	150.100	40.070	1399.000	383.900	101.800	24.310	232.000	60.250	18.070	5.839	423.800	111.200	33.390	12.280	
40504.870	0	3551.086	0	1925.000	521.700	150.400	39.880	1396.000	385.100	101.600	24.340	231.900	60.110	18.040	5.865	421.500	111.500	33.190	12.270	
40504.982	0	3551.168	0	1920.000	520.700	149.400	39.780	1402.000	382.300	101.200	24.240	232.900	60.220	17.950	5.847	420.600	110.500	33.070	12.240	
40504.995	0	3551.253	0	1919.000	518.700	149.400	39.720	1399.000	383.100	100.900	24.280	231.200	60.140	17.890	5.832	420.100	110.100	33.110	12.150	
40505.126	0	3551.379	0	1917.000	518.300	148.500	39.640	1395.000	383.400	101.500	24.230	231.400	59.960	17.930	5.848	420.500	110.300	33.040	12.180	
40505.225	0	3551.463	0	1915.000	516.500	149.200	39.870	1399.000	382.500	100.900	24.250	230.300	60.100	18.060	5.836	420.900	110.700	33.150	12.240	
40505.337	0	3551.526	0	1912.000	520.300	148.700	39.650	1396.000	382.200	100.800	24.250	232.700	60.110	18.040	5.843	421.400	110.900	33.190	12.230	
40505.350	0	3551.610	0	1914.000	518.200	149.500	39.740	1393.000	383.600	100.900	24.230	229.900	60.050	17.960	5.851	420.800	110.900	33.180	12.260	
40505.453	0	3551.694	0	1918.000	520.200	149.100	39.840	1394.000	383.500	101.300	24.230	230.900	60.160	17.990	5.851	422.000	111.000	33.270	12.300	
40505.553	0	3551.778	0	1911.000	518.100	149.000	39.600	1392.000	381.500	100.800	24.220	229.600	60.040	17.950	5.835	419.900	110.400	33.150	12.190	
40505.654	0	3551.862	0	1908.000	518.300	148.200	39.270	1395.000	382.500	100.500	24.140	231.300	59.900	17.880	5.840	419.900	110.100	33.030	12.150	
40505.720	0	3551.946	0	1913.000	516.800	148.300	39.630	1394.000	381.800	100.800	24.160	230.600	59.950	17.930	5.828	419.400	110.400	32.930	12.110	
40505.733	0	3552.030	0	1901.000	518.000	148.400	39.300	1391.000	381.100	101.000	24.220	231.100	60.040	17.930	5.849	420.000	110.500	33.090	12.200	
40505.889	0	3552.115	0	1913.000	516.900	148.600	39.410	1394.000	382.300	100.700	24.190	231.200	59.990	18.000	5.849	420.300	110.900	33.060	12.220	
40505.987	0	3552.199	0	1909.000	518.000	148.900	39.650	1396.000	381.700	100.800	24.250	229.000	60.050	17.980	5.868	420.900	110.800	33.060	12.270	
40506.104	0	3552.283	0	1912.000	517.800	148.800	39.670	1391.000	382.200	101.100	24.240	229.600	60.030	17.940	5.858	421.300	110.900	33.190	12.270	
40506.117	0	3552.346	0	1911.000	517.800	148.700	39.580	1389.000	381.600	100.800	24.170	232.000	59.830	17.910	5.851	419.900	110.500	32.950	12.170	
40506.226	0	3552.430	0	1909.000	517.400	148.400	39.270	1391.000	380.600	100.600	24.180	229.300	59.730	17.940	5.844	418.800	109.800	32.970	12.140	
40506.338	0	3552.556	0	1906.000	518.800	148.100	39.300	1392.000	382.800	100.400	24.160	228.900	59.890	17.940	5.854	419.800	110.000	33.070	12.220	
40506.434	0	3552.639	0	1904.000	515.800	148.600	39.480	1391.000	381.800	100.700	24.190	229.200	59.820	17.950	5.823	420.500	110.000	32.990	12.230	
40506.447	0	3552.723	0	1912.000	514.700	148.900	39.430	1393.000	382.100	100.500	24.170	229.400	59.920	18.000	5.868	420.900	110.500	33.120	12.230	
40506.567	0	3552.807	0	1913.000	517.900	148.600	39.490	1392.000	381.800	100.900	24.230	231.700	59.950	17.990	5.837	421.400	110.500	33.150	12.250	
40506.667	0	3552.891	0	1908.000	519.400	148.700	39.770	1394.000	382.400	100.900	24.130	231.300	59.970	17.940	5.868	421.000	110.900	33.130	12.230	
40506.680	0	3552.954	0	1910.000	516.900	148.600	39.580	1393.000	382.400	100.500	24.190	229.900	60.060	18.000	5.836	420.000	110.400	32.940	12.180	
40506.805	0	3553.059	0	1907.000	514.300	148.300	39.480	1394.000	382.700	100.600	24.200	230.700	59.850	17.940	5.815	419.500	110.600	32.940	12.160	
40506.903	0	3553.144	0	1909.000	515.900	148.200	39.400	1393.000	380.800	101.100	24.180	231.100	59.920	17.970	5.840	419.000	110.000	32.980	12.230	
40507.003	0	3553.207	0	1904.000	516.600	148.300	39.460	1395.000	382.700	100.800	24.220	231.600	59.920	17.990	5.838	419.900	109.900	33.120	12.180	
40507.016	0	3553.291	0	1911.000	515.900	148.500	39.430	1392.000	382.500	100.800	24.140	231.200	60.060	17.930	5.829	420.000	110.600	33.080	12.220	
40507.134	0	3553.375	0	1914.000	518.500	148.500	39.430	1400.000	382.100	100.700	24.310	228.500	59.890	17.950	5.848	420.900	110.400	33.050	12.280	
40507.234	0	3553.459	0	1920.000	518.000	149.200	39.620	1396.000	383.400	100.800	24.200	232.000	59.800	18.020	5.857	421.700	111.300	33.150	12.250	
40507.350	0	3553.543	0	1918.000	518.000	149.200	39.390	1397.000	382.200	101.100	24.140	231.800	59.850	17.900	5.842	420.400	110.200	32.940	12.210	
40507.462	0	3553.627	0	1916.000	518.800	148.300	39.610	1400.000	382.200	101.000	24.220	230.600	59.870	17.910	5.837	419.500	110.800	32.930	12.210	
40507.529	0	3553.753	0	1912.000	517.100	148.900	39.590	1397.000	382.900	100.800	24.230	232.500	59.810	17.970	5.845	419.500	110.700	32.980	12.180	
40507.542	0	3553.837	0	1911.000	514.900	148.800	39.450	1397.000	384.100	100.600	24.240	229.000	60.040	17.970	5.855	420.100	110.200	33.130	12.240	
40507.669	0	3553.921	0	1907.000	519.300	148.600	39.710	1401.000	382.700	100.800	24.280	231.200	60.030	18.010	5.819	420.900	110.700	33.150	12.230	
40507.710	0	3553.984	0	1921.000	519.900	148.600	39.610	1399.000	382.800	101.300	24.340	230.900	60.180	17.970	5.850	421.100	111.200	33.240	12.200	
40507.813	0	3554.067	0	1916.000	520.800	148.800	39.790	1395.000	382.700	100.900	24.200	232.300	60.010	17.950	5.874	421.500	110.500	33.280	12.210	
40507.925	0	3554.151	0	1913.000	514.400	148.600	39.480	1403.000	383.000	101.200	24.260	231.400	59.970	17.950	5.856	420.000	110.700	33.070	12.200	
40508.037	0	3554.236	0	1910.000	518.600	148.700	39.580	1399.000	382.900	101.300	24.270	230.100	59.960	17.940	5.842	420.900	110.600	33.040	12.200	
40508.148	0	3554.320	0	1914.000	515.100	148.400	39.420	1394.000	383.600	100.800	24.270	229.700	59.980	17.910	5.870	420.400	110.700	33.100	12.190	
40508.161	0	3554.404	0	1910.000	520.700	148.800	39.520	1396.000	383.500	101.100	24.250	229.400	59.830	17.930	5.878	420.600	110.700	33.290	12.250	
40508.266	0	3554.488	0	1914.000	516.100	149.000	39.630	1395.000	384.000	101.400	24.370	232.700	60.070	18.040	5.863	421.100	110.700	33.220	12.280	
40508.378	0	3554.572	0	1913.000	521.500	149.000	39.730	1401.000	384.800	101.300	24.300	231.100	60.040	18.010	5.865	422.100	111.300	33.380	12.330	
40508.391	0	3554.635	0	1925.000	519.300	149.500	39.620	1403.000	382.800	101.200	24.280	231.200	60.070	17.960	5.865	420.900	110.200	33.110	12.200	
40508.496	0	3554.719	0	1914.000	517.400	148.500	39.520	1399.000	382.700	101.300	24.260	230.200	60.040	17.960	5.857	419.400	110.300	33.000	12.240	
40508.593	0	3554.824	0	1911.000	517.900	149.000	39.620	1400.000	383.300	101.100	24.230	231.700	60.080	17.930	5.847	420.400	110.500	32.970	12.200	
40508.709	0	3554.929	0	1914.000	520.200	149.100	39.560	1402.000	384.000	101.100	24.250	230.900	59.980	17.970	5.860	420.800	110.900	33.070	12.250	
40508.805	0	3555.013	0	1921.000	520.200	149.200	39.670	1395.000	383.500	101.300	24.310	230.600	59.910	18.050	5.841	421.100	110.900	33.210	12.230	
40508.937	0	3555.098	0	1919.000	519.900	148.200	39.750	1400.000	384.600	101.600	24.310	230.100	59.860	17.960	5.853	422.200	110.800	33.240	12.260	
40508.950	0	3555.182	0	1918.000	519.200	149.700	39.780	1397.000	383.300	101.200	24.320	229.500	59.950	18.040	5.832	421.400	111.200	33.150	12.290	
40508.963	0	3555.266	0	1916.000	520.100	148.700	39.640	1400.000	385.000	101.300	24.340	231.200	59.840	17.920	5.841	420.300	110.800	33.100	12.170	
40509.089	0	3555.350	0	1912.000	517.400	148.400	39.640	1396.000	384.100	101.000	24.330	229.800	59.980	17.920	5.844	420.100	110.200	32.970	12.180	
40509.191	0	3555.434	0	1907.000	517.300	148.500	39.500	1396.000	384.100	101.600	24.240	230.100	59.670	17.940	5.842	419.400	110.600	33.110	12.240	
40509.291	0	3555.496	0	1912.000	517.100	148.900	39.450	1399.000	383.400	101.200	24.260	231.900	59.810	17.900	5.878	420.400	110.700	33.060	12.220	
40509.354	0	3555.601	0	1905.000	518.300	148.600	39.560	1398.000	384.200	101.400	24.280	229.000	59.850	17.900	5.853	420.200	110.600	33.110	12.280	
40509.367	0	3555.664	0	1908.000	517.800	149.000	39.790	1399.000	384.300	101.800	24.270	229.700	59.820	17.980	5.888	421.400	110.700	33.210	12.390	
40509.495	0	3555.748	0	1914.000	516.600	149.800	39.770	1399.000	383.800	101.600	24.300	231.700	60.000	17.950	5.852	420.800	110.900	33.240	12.310	
40509.594	0	3555.832	0	1907.000	517.400	149.000	39.620	1398.000	383.100	101.400	24.330	230.400	59.620	17.920	5.836	419.600	110.700	33.030	12.250	
40509.706	0	3555.916	0	1910.000	514.600	147.800	39.410	1395.000	382.500	101.500	24.330	229.500	59.670	17.820	5.828	418.900	110.200	33.070	12.260	
40509.802	0	3556.000	0	1907.000	514.600	148.600	39.610	1395.000	382.400	101.400	24.380	230.600	59.760	17.920	5.844	420.300	110.000	33.090	12.270	
40509.815	0	3556.084	0	1916.000	517.900	148.300	39.550	1394.000	383.500	101.200	24.390	229.400	59.690	17.930	5.835	419.100	110.400	33.210	12.260	
40509.947	0	3556.211	0	1905.000	515.300	149.000	39.490	1393.000	380.900	101.200	24.290	228.900	59.820	17.870	5.871	419.600	110.600	33.200	12.300	
40510.050	0	3556.295	0	1908.000	516.900	148.700	39.530	1400.000	381.400	101.200	24.300	230.600	59.580	17.900	5.856	420.200	111.200	33.180	12.370	
40510.146	0	3556.358	0	1915.000	518.100	149.000	39.790	1395.000	382.900	101.400	24.350	227.200	59.770	17.990	5.843	420.400	110.600	33.370	12.390	
40510.214	0	3556.463	0	1913.000	518.000	149.300	39.710	1397.000	382.400	101.500	24.320	230.200	59.590	17.880	5.865	421.100	110.900	33.150	12.280	
40510.227	0	3556.526	0	1910.000	515.900	148.900	39.570	1398.000	382.100	101.000	24.310	230.400	59.420	17.920	5.845	419.000	110.700	33.040	12.280	
40510.352	0	3556.610	0	1914.000	516.200	148.600	39.340	1393.000	382.600	100.900	24.320	229.700	59.440	17.770	5.842	418.100	110.100	33.140	12.280	
40510.452	0	3556.694	0	1914.000	518.600	148.500	39.470	1399.000	380.200	101.000	24.260	232.000	59.390	17.830	5.838	418.300	110.400	33.120	12.220	
40510.553	0	3556.778	0	1905.000	514.700	148.600	39.570	1394.000	381.200	101.100	24.240	229.900	59.140	17.810	5.839	418.400	109.800	33.050	12.330	
40510.653	0	3556.862	0	1907.000	515.100	148.400	39.620	1398.000	380.700	101.200	24.360	228.400	59.410	17.800	5.876	419.400	110.700	33.150	12.340	
40510.756	0	3556.945	0	1914.000	518.100	148.500	39.680	1402.000	381.500	100.500	24.360	229.000	59.490	17.890	5.838	421.600	111.100	33.300	12.440	
40510.769	0	3557.029	0	1917.000	518.200	148.700	39.800	1403.000	382.400	101.200	24.290	230.300	59.630	17.880	5.887	421.100	111.200	33.460	12.440	
40510.873	0	3557.113	0	1921.000	518.500	149.100	39.930	1404.000	381.800	101.500	24.350	230.700	59.850	17.900	5.887	420.900	111.200	33.470	12.440	
40510.945	0	3557.176	0	1918.000	517.100	148.900	39.650	1401.000	382.500	100.800	24.260	228.900	59.560	17.870	5.862	420.200	110.900	33.360	12.410	
40511.050	0	3557.282	0	1916.000	519.000	148.900	39.580	1406.000	382.400	101.300	24.400	229.300	59.520	17.860	5.865	421.100	110.400	33.230	12.360	
40511.146	0	3557.387	0	1922.000	519.800	149.700	39.680	1405.000	382.800	101.400	24.290	231.500	59.630	17.880	5.842	421.100	111.500	33.240	12.370	
40511.247	0	3557.471	0	1917.000	520.800	149.600	39.600	1405.000	382.700	101.800	24.420	231.700	59.590	17.920	5.875	422.200	111.100	33.350	12.400	
40511.347	0	3557.555	0	1929.000	520.000	149.300	39.880	1408.000	383.400	101.400	24.470	231.000	59.720	17.930	5.885	422.300	111.300	33.310	12.420	
40511.412	0	3557.639	0	1923.000	517.900	149.800	39.990	1406.000	383.600	101.600	24.500	229.900	59.770	17.880	5.869	423.000	111.500	33.640	12.460	
40511.453	0	3557.723	0	1936.000	518.300	149.600	39.890	1410.000	385.600	101.900	24.390	229.200	59.760	17.900	5.878	422.300	112.100	33.600	12.490	
40511.556	0	3557.807	0	1932.000	522.100	151.000	39.980	1412.000	383.100	101.800	24.420	230.400	59.850	17.890	5.876	422.300	111.700	33.520	12.460	
40511.668	0	3557.891	0	1933.000	522.600	150.100	39.880	1407.000	385.100	101.600	24.410	231.300	59.760	17.910	5.844	420.800	111.400	33.300	12.450	
40511.781	0	3557.975	0	1924.000	520.500	149.400	39.960	1411.000	383.600	101.800	24.360	230.000	59.590	17.840	5.846	420.300	110.800	33.380	12.430	
40511.794	0	3558.038	0	1930.000	522.600	149.800	40.010	1412.000	384.400	101.500	24.350	228.800	59.680	17.920	5.849	422.700	111.000	33.360	12.480	
40511.901	0	3558.144	0	1938.000	521.500	150.100	39.830	1415.000	386.000	101.500	24.370	230.300	59.560	17.850	5.872	422.000	111.100	33.500	12.480	
40512.002	0	3558.207	0	1938.000	521.100	150.800	40.070	1409.000	386.200	102.200	24.510	231.000	59.770	17.860	5.862	422.700	111.300	33.550	12.510	
40512.015	0	3558.291	0	1937.000	521.900	150.700	40.200	1409.000	386.600	101.600	24.430	230.800	59.660	17.860	5.857	422.900	112.000	33.560	12.610	
40512.272	0	3558.374	0	1946.000	523.900	151.300	40.150	1415.000	385.900	102.000	24.480	231.600	59.560	17.970	5.859	422.000	111.800	33.800	12.640	
40512.311	0	3558.458	0	1946.000	525.900	151.000	40.400	1412.000	386.400	101.700	24.430	232.500	59.560	17.970	5.906	423.300	111.800	33.660	12.570	
40512.324	0	3558.585	0	1949.000	524.800	150.600	40.270	1418.000	385.900	102.200	24.450	230.800	59.560	17.890	5.838	422.700	111.800	33.530	12.520	
40512.423	0	3558.668	0	1943.000	524.700	150.700	40.130	1421.000	386.200	102.000	24.380	231.100	59.590	17.880	5.842	421.400	111.500	33.580	12.510	
40512.519	0	3558.752	0	1945.000	522.800	150.500	40.170	1421.000	386.600	102.000	24.470	229.700	59.610	17.850	5.876	422.500	111.300	33.650	12.530	
40512.582	0	3558.815	0	1946.000	525.000	150.700	40.210	1423.000	387.600	102.100	24.560	231.200	59.760	17.830	5.839	422.600	111.600	33.550	12.590	
40512.624	0	3558.899	0	1947.000	525.500	151.400	40.380	1415.000	386.100	102.500	24.470	231.000	59.750	17.860	5.869	423.100	112.000	33.680	12.570	
40512.693	0	3559.004	0	1951.000	525.300	151.900	40.450	1418.000	386.700	102.300	24.570	230.700	59.700	17.930	5.907	422.900	112.500	33.890	12.670	
40512.755	0	3559.067	0	1953.000	528.600	151.600	40.510	1423.000	386.000	102.300	24.600	232.200	59.760	17.980	5.873	425.300	112.200	33.930	12.700	
40512.880	0	3559.151	0	1954.000	527.400	151.400	40.380	1422.000	388.400	102.500	24.510	232.500	59.840	18.020	5.902	424.500	112.000	33.730	12.590	
40512.976	0	3559.236	0	1953.000	525.600	151.700	40.240	1422.000	387.500	102.300	24.460	231.600	59.720	17.900	5.853	424.400	112.500	33.640	12.570	
40513.092	0	3559.320	0	1951.000	526.600	152.000	40.160	1425.000	388.100	102.700	24.520	232.300	59.840	17.970	5.853	424.800	112.100	33.810	12.590	
40513.189	0	3559.404	0	1953.000	526.700	151.800	40.360	1421.000	387.500	102.600	24.470	230.900	59.840	17.960	5.901	424.200	112.000	33.700	12.560	
40513.289	0	3559.488	0	1953.000	526.800	152.500	40.600	1427.000	387.800	102.700	24.580	233.600	59.830	17.930	5.870	426.300	112.100	33.860	12.640	
40513.302	0	3559.572	0	1961.000	528.900	151.700	40.460	1425.000	388.500	102.500	24.540	231.200	59.850	17.940	5.909	425.600	112.500	33.930	12.660	
40513.481	0	3559.656	0	1955.000	528.400	153.100	40.570	1429.000	388.700	102.800	24.600	231.100	59.890	17.970	5.866	426.700	112.700	34.040	12.700	
40513.626	0	3559.760	0	1965.000	530.800	151.800	40.470	1424.000	387.200	102.200	24.510	232.000	59.860	17.950	5.855	425.600	112.500	33.830	12.620	
40513.640	0	3559.865	0	1963.000	529.100	152.200	40.500	1424.000	387.500	102.300	24.540	229.800	59.720	17.870	5.832	425.700	111.900	33.800	12.580	
40513.678	0	3559.928	0	1960.000	525.000	151.900	40.280	1424.000	387.400	102.300	24.570	232.300	59.810	17.940	5.833	423.900	112.400	33.810	12.590	
40513.785	0	3560.012	0	1963.000	528.000	152.000	40.370	1430.000	388.000	102.600	24.550	230.700	59.650	17.840	5.858	424.900	111.900	33.740	12.610	
40513.897	0	3560.096	0	1956.000	527.900	152.100	40.410	1425.000	388.500	102.600	24.650	229.000	59.680	17.890	5.831	425.400	112.200	33.760	12.670	
40514.006	0	3560.180	0	1959.000	528.100	152.300	40.550	1424.000	387.200	102.300	24.540	231.600	59.540	17.880	5.845	426.100	112.200	33.810	12.620	
40514.020	0	3560.265	0	1962.000	529.300	151.800	40.600	1426.000	387.400	102.500	24.590	231.800	59.740	17.950	5.849	426.000	112.600	33.960	12.640	
40514.126	0	3560.349	0	1957.000	526.900	152.700	40.530	1424.000	388.000	102.600	24.530	231.100	59.680	17.920	5.861	426.200	112.100	33.660	12.590	
40514.160	0	3560.433	0	1955.000	525.200	151.600	40.320	1416.000	386.900	101.700	24.450	232.200	59.700	17.840	5.808	425.100	112.000	33.740	12.570	
40514.238	0	3560.496	0	1955.000	525.700	151.500	40.310	1419.000	387.800	102.100	24.440	231.200	59.780	17.810	5.818	424.300	112.200	33.680	12.580	
40514.275	0	3560.580	0	1954.000	524.700	151.400	40.300	1419.000	387.100	102.800	24.490	232.500	59.530	17.870	5.805	424.100	111.700	33.670	12.530	
40514.371	0	3560.664	0	1959.000	525.900	151.700	40.210	1422.000	385.500	102.700	24.530	229.100	59.730	17.830	5.851	424.500	112.100	33.920	12.560	
40514.502	0	3560.748	0	1958.000	526.000	152.300	40.210	1419.000	386.600	102.800	24.500	232.800	59.400	17.880	5.832	425.100	112.300	33.690	12.640	
40514.603	0	3560.832	0	1950.000	526.400	152.200	40.370	1420.000	385.900	102.000	24.520	229.800	59.500	17.860	5.848	424.600	112.500	33.890	12.590	
40514.715	0	3560.958	0	1948.000	525.100	151.700	40.190	1421.000	387.300	102.200	24.490	231.000	59.690	17.830	5.830	424.700	112.300	33.700	12.550	
40514.816	0	3561.042	0	1946.000	524.100	151.200	40.000	1422.000	386.800	101.800	24.430	232.500	59.350	17.730	5.820	422.400	111.300	33.470	12.480	
40514.932	0	3561.127	0	1942.000	524.200	151.300	40.080	1419.000	386.200	102.200	24.530	231.700	59.620	17.840	5.816	423.500	111.600	33.720	12.540	
40515.036	0	3561.211	0	1945.000	523.300	150.500	40.050	1420.000	386.100	102.100	24.380	229.800	59.650	17.820	5.816	423.000	111.400	33.580	12.570	
40515.049	0	3561.295	0	1940.000	519.500	150.500	40.040	1416.000	385.800	101.700	24.500	230.300	59.440	17.840	5.802	423.400	111.900	33.520	12.500	
40515.154	0	3561.357	0	1944.000	522.100	150.800	40.130	1415.000	385.700	101.800	24.430	228.800	59.560	17.750	5.845	423.800	112.000	33.720	12.520	
40515.219	0	3561.441	0	1947.000	523.200	151.100	40.230	1419.000	385.300	102.000	24.450	233.000	59.670	17.830	5.827	423.600	112.100	33.690	12.570	
40515.232	0	3561.525	0	1949.000	525.500	150.800	40.210	1416.000	385.300	101.800	24.380	232.100	59.590	17.790	5.828	422.500	111.600	33.500	12.460	
40515.299	0	3561.609	0	1946.000	523.200	150.400	39.890	1417.000	386.200	101.700	24.480	228.700	59.480	17.800	5.779	424.000	111.300	33.460	12.390	
40515.465	0	3561.693	0	1932.000	519.700	149.900	39.910	1415.000	385.900	101.900	24.370	228.900	59.460	17.790	5.796	422.200	111.400	33.490	12.370	
40515.561	0	3561.777	0	1929.000	520.700	149.900	39.970	1417.000	387.200	101.700	24.360	229.600	59.660	17.780	5.785	422.900	111.400	33.370	12.350	
40515.662	0	3561.861	0	1937.000	522.800	150.100	39.950	1416.000	385.400	101.500	24.380	229.400	59.460	17.700	5.773	422.600	111.500	33.420	12.340	
40515.675	0	3561.945	0	1930.000	518.700	149.900	39.870	1410.000	384.900	101.600	24.390	231.000	59.630	17.740	5.762	423.700	111.800	33.440	12.380	
40515.786	0	3562.029	0	1931.000	521.300	150.400	39.980	1414.000	385.000	101.400	24.340	229.800	59.560	17.840	5.771	423.000	112.000	33.540	12.430	
40515.886	0	3562.113	0	1938.000	521.600	149.300	40.120	1416.000	385.200	101.500	24.380	230.300	59.580	17.750	5.750	424.000	111.400	33.360	12.310	
40515.987	0	3562.219	0	1932.000	524.200	149.700	39.940	1416.000	386.100	101.800	24.390	229.400	59.700	17.790	5.752	424.000	111.500	33.340	12.290	
40516.103	0	3562.303	0	1923.000	518.600	149.500	39.840	1413.000	385.500	101.700	24.370	229.200	59.740	17.750	5.743	422.800	111.300	33.330	12.250	
40516.212	0	3562.387	0	1927.000	521.200	149.300	39.680	1412.000	385.200	101.600	24.400	231.000	59.480	17.710	5.756	423.000	111.200	33.500	12.260	
40516.252	0	3562.471	0	1925.000	521.200	148.800	39.720	1415.000	385.100	101.100	24.350	229.800	59.550	17.720	5.721	423.600	111.500	33.310	12.260	
40516.266	0	3562.555	0	1918.000	520.600	148.700	39.710	1406.000	385.000	101.200	24.260	229.000	59.710	17.790	5.725	423.100	112.000	33.370	12.250	
40516.381	0	3562.639	0	1917.000	520.500	149.000	39.850	1404.000	384.900	101.300	24.280	228.400	59.740	17.780	5.747	424.000	111.700	33.530	12.310	
